InspectionUID,FacilityHashID,InspectionDate,InpsectionHashID,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5751940,13176,3/1/19 0:00,27D61E1E-5056-A20B-FA60DBD5774DFE34,WHATABURGER #120,4545 NORTH  FWY,77022,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5757924,15328175-DD88-05DE-6731C3456AB87B8B,3/31/19 0:00,30EED55B-5056-A20B-FA55DCB5291F5DBE,VARIEDADES EL SALVADOR #4,11236 BEECHNUT,77072,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5751939,13176,3/1/19 0:00,26A9EBD1-5056-A20B-FAD2CA7B0784265C,WHATABURGER #120,4545 NORTH  FWY,77022,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5702513,1955363,1/22/19 0:00,908AF68C-5056-A20B-FA54046857780703,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5751938,13178,3/1/19 0:00,256DFF75-5056-A20B-FA8BBCF8667D32BA,WHATABURGER #266,3639 WESTHEIMER RD,77027,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5756319,13154,3/20/19 0:00,07CF09F5-5056-A20B-FAB0A04C0CEA2C2C,WHATABURGER #278,11027 FUQUA,77089,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5722075,1955363,2/3/19 0:00,FC5431F0-5056-A20B-FAC302C6D59BCBD1,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5751436,193E3376-D00D-20C4-2C926C13952D6898,2/26/19 0:00,97C78859-5056-A20B-FADACCB417B2D69E,JINYA  RAMEN BAR,3201 LOUISIANA ST STE 105,77006,Restaurant - Full Service,CHINESE,6,HIGH
5753350,13179,3/10/19 0:00,01F904ED-5056-A20B-FA1CF4F462BA8184,WHATABURGER #89,905 NORTH LOOP WEST,77008,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5729320,1955363,2/11/19 0:00,958FAEB1-5056-A20B-FA7FA956359017D7,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5750553,13168,2/18/19 0:00,59DCB7A6-5056-A20B-FA9053867703BFE5,WHATABURGER #196,1718 WEST LOOP NORTH,77008,Restaurant - Single Service,,5,MEDIUM
5751867,2363,2/28/19 0:00,FFDE0972-5056-A20B-FA00EE5BE7591A43,MCDONALD'S,100 E CROSSTIMBERS,77022,Restaurant - Single Service,,7,HIGH
5756026,1207,3/19/19 0:00,D10B059A-5056-A20B-FA8E25EEE57932B9,J & J LOUNGE,3303 LEE,77026,Restaurant - Full Service,,6,HIGH
5757400,13183,3/26/19 0:00,40374FAB-5056-A20B-FAE40DEBC553C081,WHATABURGER # 733,6888 GULF  FWY STE 200,77087,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5700989,13159,1/10/19 0:00,16C2FB3F-5056-A20B-FA8505784B6585EE,WHATABURGER #141,8941 LONG POINT,77055,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5702891,154,1/24/19 0:00,F926BA99-5056-A20B-FA98F713E7466F1E,ALMEDA SKATE CENTER,10750 ALMEDA GENOA,77034,Restaurant - Single Service,,0,MEDIUM
5729327,1955363,2/11/19 0:00,95CB476A-5056-A20B-FA9A7CC8E9599D5C,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5754275,1524,3/14/19 0:00,D0E15F50-5056-A20B-FAD3A9EB728CBE14,JIMMY G'S RESTAURANT,307 N SAM HOUSTON PKWY E,77060,Restaurant - Full Service,,8,HIGH
5753353,13179,3/10/19 0:00,025325B2-5056-A20B-FA745AB5D357539F,WHATABURGER #89,905 NORTH LOOP WEST,77008,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5752073,19202572-B34B-AAC5-4B78708E80E72730,3/3/19 0:00,9B9ED326-5056-A20B-FA1E9027976AE72A,SUPER SANDWICHES,7303 BREEN RD,77086,Restaurant - Single Service,DELI,4,MEDIUM
5753404,1955363,3/10/19 0:00,064439F9-5056-A20B-FACF593AFA3B5494,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5757925,15328175-DD88-05DE-6731C3456AB87B8B,3/31/19 0:00,310417B3-5056-A20B-FA7F406A1C4E3F3E,VARIEDADES EL SALVADOR #4,11236 BEECHNUT,77072,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5750643,1523804B-E46F-1187-05DC930CE3A52C25,2/20/19 0:00,652B9A48-5056-A20B-FAFDB14E5BF25CB4,TORCHY'S TACOS,350 W 19TH ST STE A,77008,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
